#,玩家昵称,Bot名,分数
1,zbww,QwQ,1345.0012628173815
2,llkkcc,Behold,1301.000426228842
3,intellouis,菜鸡四十三号,1238.9993178304037
4,zhmomo,tess,1234.9989931233727
